Silhouette Score: -1.0000, Number of Clusters: 595, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 13, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 585, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 263, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 4, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 3, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 223, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 5}
Silhouette Score: -0.3322, Number of Clusters: 5, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 29, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 127, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 3, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 3, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 83, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 11, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 568, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 246, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 4, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 10}
Silhouette Score: -0.4514, Number of Clusters: 7, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 225, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 4, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 3, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 61, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 3, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 81, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 12, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 18, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 12, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 584, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 259, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 3, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 4, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 224, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 115, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 122, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 3, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 5}
Silhouette Score: -0.3982, Number of Clusters: 6, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 84, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 13, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 557, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 257, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 4, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 10}
Silhouette Score: -0.4631, Number of Clusters: 9, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 211, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 12, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 44, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 4, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 107, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 1}
Silhouette Score: -0.3695, Number of Clusters: 6, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 5}
Silhouette Score: -0.2989, Number of Clusters: 5, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 3, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 15}
Silhouette Score: -0.2083, Number of Clusters: 5, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 4, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 3, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 500}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 586, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 238, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 3, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 231, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 96, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 3, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 114, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 3, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 10}
Silhouette Score: -0.2476, Number of Clusters: 7, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 40, 'learning_rate': 1000}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 567, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 50, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 230, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 50, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 76, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 50, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 4, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 50, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 216, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 50, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 101, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 50, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 38, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 50, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 3, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 50, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 133, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 50, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 57, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 50, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 23, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 50, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 10}
