dataset,n_estimators,perplexity,learning_rate,n_iter,N_top_features,min_cluster_size,min_samples,tsne_results,top_features,silhouette_score,cluster_labels,num_clusters
Dataset_4,25,5,5,2500,10,30,15,"[[-8.2589597e-02 -1.0284935e+02]
 [-5.9604279e+01 -2.7190186e+01]
 [ 4.3452660e+01  7.0997143e+00]
 ...
 [-8.8630753e+01 -4.4742294e+01]
 [ 6.2724072e+01  2.5955603e+01]
 [-5.1475002e+01 -3.5728363e+01]]","['Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.19962794,[-1  6  6 ...  2  6  6],7
Dataset_4,25,5,5,2500,10,30,20,"[[-8.2589597e-02 -1.0284935e+02]
 [-5.9604279e+01 -2.7190186e+01]
 [ 4.3452660e+01  7.0997143e+00]
 ...
 [-8.8630753e+01 -4.4742294e+01]
 [ 6.2724072e+01  2.5955603e+01]
 [-5.1475002e+01 -3.5728363e+01]]","['Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.17689773,[-1  4  4 ...  2  4  4],6
Dataset_4,25,5,5,2500,15,15,10,"[[ 34.675064  -28.331148 ]
 [-29.573584  -48.547882 ]
 [  9.22002    -1.1109494]
 ...
 [-74.072784    6.810966 ]
 [ 30.445375    1.5764118]
 [-32.30493    29.924555 ]]","['Symptom_Muscle_aches', 'Symptom_SkinAllergy_itchy_skin', 'Symptom_Waking_up_in_night', 'Symptom_Joint_pain', 'Symptom_Headaches_diffuse', 'Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.26965865,[-1 -1 48 ... 32 -1 -1],58
Dataset_4,25,5,5,2500,15,15,15,"[[ 34.675064  -28.331148 ]
 [-29.573584  -48.547882 ]
 [  9.22002    -1.1109494]
 ...
 [-74.072784    6.810966 ]
 [ 30.445375    1.5764118]
 [-32.30493    29.924555 ]]","['Symptom_Muscle_aches', 'Symptom_SkinAllergy_itchy_skin', 'Symptom_Waking_up_in_night', 'Symptom_Joint_pain', 'Symptom_Headaches_diffuse', 'Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.42300668,[-1 -1 36 ... -1 -1 -1],40
Dataset_4,25,5,5,2500,15,15,20,"[[ 34.675064  -28.331148 ]
 [-29.573584  -48.547882 ]
 [  9.22002    -1.1109494]
 ...
 [-74.072784    6.810966 ]
 [ 30.445375    1.5764118]
 [-32.30493    29.924555 ]]","['Symptom_Muscle_aches', 'Symptom_SkinAllergy_itchy_skin', 'Symptom_Waking_up_in_night', 'Symptom_Joint_pain', 'Symptom_Headaches_diffuse', 'Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",0.048971985,[1 1 1 ... 1 1 1],2
Dataset_4,25,5,5,2500,15,20,10,"[[ 34.675064  -28.331148 ]
 [-29.573584  -48.547882 ]
 [  9.22002    -1.1109494]
 ...
 [-74.072784    6.810966 ]
 [ 30.445375    1.5764118]
 [-32.30493    29.924555 ]]","['Symptom_Muscle_aches', 'Symptom_SkinAllergy_itchy_skin', 'Symptom_Waking_up_in_night', 'Symptom_Joint_pain', 'Symptom_Headaches_diffuse', 'Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.2799027,[17 -1 34 ... 20 -1 -1],44
Dataset_4,25,5,5,2500,15,20,15,"[[ 34.675064  -28.331148 ]
 [-29.573584  -48.547882 ]
 [  9.22002    -1.1109494]
 ...
 [-74.072784    6.810966 ]
 [ 30.445375    1.5764118]
 [-32.30493    29.924555 ]]","['Symptom_Muscle_aches', 'Symptom_SkinAllergy_itchy_skin', 'Symptom_Waking_up_in_night', 'Symptom_Joint_pain', 'Symptom_Headaches_diffuse', 'Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.241113,[4 4 4 ... 4 4 4],5
Dataset_4,25,5,5,2500,15,20,20,"[[ 34.675064  -28.331148 ]
 [-29.573584  -48.547882 ]
 [  9.22002    -1.1109494]
 ...
 [-74.072784    6.810966 ]
 [ 30.445375    1.5764118]
 [-32.30493    29.924555 ]]","['Symptom_Muscle_aches', 'Symptom_SkinAllergy_itchy_skin', 'Symptom_Waking_up_in_night', 'Symptom_Joint_pain', 'Symptom_Headaches_diffuse', 'Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.32163003,[ 4 -1  4 ...  4  4 -1],5
Dataset_4,25,5,5,2500,15,25,10,"[[ 34.675064  -28.331148 ]
 [-29.573584  -48.547882 ]
 [  9.22002    -1.1109494]
 ...
 [-74.072784    6.810966 ]
 [ 30.445375    1.5764118]
 [-32.30493    29.924555 ]]","['Symptom_Muscle_aches', 'Symptom_SkinAllergy_itchy_skin', 'Symptom_Waking_up_in_night', 'Symptom_Joint_pain', 'Symptom_Headaches_diffuse', 'Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",0.03574732,[0 0 0 ... 0 0 0],2
Dataset_4,25,5,5,2500,15,25,15,"[[ 34.675064  -28.331148 ]
 [-29.573584  -48.547882 ]
 [  9.22002    -1.1109494]
 ...
 [-74.072784    6.810966 ]
 [ 30.445375    1.5764118]
 [-32.30493    29.924555 ]]","['Symptom_Muscle_aches', 'Symptom_SkinAllergy_itchy_skin', 'Symptom_Waking_up_in_night', 'Symptom_Joint_pain', 'Symptom_Headaches_diffuse', 'Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.039939772,[2 2 2 ... 2 2 2],3
Dataset_4,25,5,5,2500,15,25,20,"[[ 34.675064  -28.331148 ]
 [-29.573584  -48.547882 ]
 [  9.22002    -1.1109494]
 ...
 [-74.072784    6.810966 ]
 [ 30.445375    1.5764118]
 [-32.30493    29.924555 ]]","['Symptom_Muscle_aches', 'Symptom_SkinAllergy_itchy_skin', 'Symptom_Waking_up_in_night', 'Symptom_Joint_pain', 'Symptom_Headaches_diffuse', 'Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.2209698,[ 2 -1  2 ...  2  2 -1],3
Dataset_4,25,5,5,2500,15,30,10,"[[ 34.675064  -28.331148 ]
 [-29.573584  -48.547882 ]
 [  9.22002    -1.1109494]
 ...
 [-74.072784    6.810966 ]
 [ 30.445375    1.5764118]
 [-32.30493    29.924555 ]]","['Symptom_Muscle_aches', 'Symptom_SkinAllergy_itchy_skin', 'Symptom_Waking_up_in_night', 'Symptom_Joint_pain', 'Symptom_Headaches_diffuse', 'Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",0.03574732,[0 0 0 ... 0 0 0],2
Dataset_4,25,5,5,2500,15,30,15,"[[ 34.675064  -28.331148 ]
 [-29.573584  -48.547882 ]
 [  9.22002    -1.1109494]
 ...
 [-74.072784    6.810966 ]
 [ 30.445375    1.5764118]
 [-32.30493    29.924555 ]]","['Symptom_Muscle_aches', 'Symptom_SkinAllergy_itchy_skin', 'Symptom_Waking_up_in_night', 'Symptom_Joint_pain', 'Symptom_Headaches_diffuse', 'Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",0.031406205,[1 1 1 ... 1 1 1],2
Dataset_4,25,5,5,2500,15,30,20,"[[ 34.675064  -28.331148 ]
 [-29.573584  -48.547882 ]
 [  9.22002    -1.1109494]
 ...
 [-74.072784    6.810966 ]
 [ 30.445375    1.5764118]
 [-32.30493    29.924555 ]]","['Symptom_Muscle_aches', 'Symptom_SkinAllergy_itchy_skin', 'Symptom_Waking_up_in_night', 'Symptom_Joint_pain', 'Symptom_Headaches_diffuse', 'Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.2209698,[ 2 -1  2 ...  2  2 -1],3
Dataset_4,25,5,5,2500,25,15,10,"[[ 10.027109  18.96414 ]
 [-35.022976  12.007021]
 [ 70.06552  -47.794964]
 ...
 [-42.03173  -17.426561]
 [ 34.334484 -41.508633]
 [-55.90411   17.392517]]","['Symptom_Constipation', 'Symptom_Vivid_dreams', 'Symptom_Dry_cough', 'Symptom_Loss_of_smell', 'Symptom_Fever', 'Symptom_Changes_in_voice', 'Symptom_Headaches_base_of_skull', 'Symptom_Night_sweats', 'Symptom_Dizziness_vertigo', 'Grouped_Respiratory_Cardiac', 'Symptom_Muscle_aches', 'Symptom_SkinAllergy_itchy_skin', 'Symptom_Waking_up_in_night', 'Symptom_Joint_pain', 'Symptom_Headaches_diffuse', 'Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.016567783,[ 3  3 -1 ...  3  3  3],4
Dataset_4,25,5,5,2500,25,15,15,"[[ 10.027109  18.96414 ]
 [-35.022976  12.007021]
 [ 70.06552  -47.794964]
 ...
 [-42.03173  -17.426561]
 [ 34.334484 -41.508633]
 [-55.90411   17.392517]]","['Symptom_Constipation', 'Symptom_Vivid_dreams', 'Symptom_Dry_cough', 'Symptom_Loss_of_smell', 'Symptom_Fever', 'Symptom_Changes_in_voice', 'Symptom_Headaches_base_of_skull', 'Symptom_Night_sweats', 'Symptom_Dizziness_vertigo', 'Grouped_Respiratory_Cardiac', 'Symptom_Muscle_aches', 'Symptom_SkinAllergy_itchy_skin', 'Symptom_Waking_up_in_night', 'Symptom_Joint_pain', 'Symptom_Headaches_diffuse', 'Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.37664342,[ 5  5 -1 ...  5 -1  5],6
Dataset_4,25,5,5,2500,25,15,20,"[[ 10.027109  18.96414 ]
 [-35.022976  12.007021]
 [ 70.06552  -47.794964]
 ...
 [-42.03173  -17.426561]
 [ 34.334484 -41.508633]
 [-55.90411   17.392517]]","['Symptom_Constipation', 'Symptom_Vivid_dreams', 'Symptom_Dry_cough', 'Symptom_Loss_of_smell', 'Symptom_Fever', 'Symptom_Changes_in_voice', 'Symptom_Headaches_base_of_skull', 'Symptom_Night_sweats', 'Symptom_Dizziness_vertigo', 'Grouped_Respiratory_Cardiac', 'Symptom_Muscle_aches', 'Symptom_SkinAllergy_itchy_skin', 'Symptom_Waking_up_in_night', 'Symptom_Joint_pain', 'Symptom_Headaches_diffuse', 'Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.15482154,[ 2  2 -1 ...  2  2 -1],3
Dataset_4,25,5,5,2500,25,20,10,"[[ 10.027109  18.96414 ]
 [-35.022976  12.007021]
 [ 70.06552  -47.794964]
 ...
 [-42.03173  -17.426561]
 [ 34.334484 -41.508633]
 [-55.90411   17.392517]]","['Symptom_Constipation', 'Symptom_Vivid_dreams', 'Symptom_Dry_cough', 'Symptom_Loss_of_smell', 'Symptom_Fever', 'Symptom_Changes_in_voice', 'Symptom_Headaches_base_of_skull', 'Symptom_Night_sweats', 'Symptom_Dizziness_vertigo', 'Grouped_Respiratory_Cardiac', 'Symptom_Muscle_aches', 'Symptom_SkinAllergy_itchy_skin', 'Symptom_Waking_up_in_night', 'Symptom_Joint_pain', 'Symptom_Headaches_diffuse', 'Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",0.007934705,[ 1  1 -1 ...  1  1  1],2
Dataset_4,25,5,5,2500,25,20,15,"[[ 10.027109  18.96414 ]
 [-35.022976  12.007021]
 [ 70.06552  -47.794964]
 ...
 [-42.03173  -17.426561]
 [ 34.334484 -41.508633]
 [-55.90411   17.392517]]","['Symptom_Constipation', 'Symptom_Vivid_dreams', 'Symptom_Dry_cough', 'Symptom_Loss_of_smell', 'Symptom_Fever', 'Symptom_Changes_in_voice', 'Symptom_Headaches_base_of_skull', 'Symptom_Night_sweats', 'Symptom_Dizziness_vertigo', 'Grouped_Respiratory_Cardiac', 'Symptom_Muscle_aches', 'Symptom_SkinAllergy_itchy_skin', 'Symptom_Waking_up_in_night', 'Symptom_Joint_pain', 'Symptom_Headaches_diffuse', 'Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.34675184,[ 4  4 -1 ...  4 -1  4],5
Dataset_4,25,5,5,2500,25,20,20,"[[ 10.027109  18.96414 ]
 [-35.022976  12.007021]
 [ 70.06552  -47.794964]
 ...
 [-42.03173  -17.426561]
 [ 34.334484 -41.508633]
 [-55.90411   17.392517]]","['Symptom_Constipation', 'Symptom_Vivid_dreams', 'Symptom_Dry_cough', 'Symptom_Loss_of_smell', 'Symptom_Fever', 'Symptom_Changes_in_voice', 'Symptom_Headaches_base_of_skull', 'Symptom_Night_sweats', 'Symptom_Dizziness_vertigo', 'Grouped_Respiratory_Cardiac', 'Symptom_Muscle_aches', 'Symptom_SkinAllergy_itchy_skin', 'Symptom_Waking_up_in_night', 'Symptom_Joint_pain', 'Symptom_Headaches_diffuse', 'Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.15482154,[ 2  2 -1 ...  2  2 -1],3
Dataset_4,25,5,5,2500,25,25,10,"[[ 10.027109  18.96414 ]
 [-35.022976  12.007021]
 [ 70.06552  -47.794964]
 ...
 [-42.03173  -17.426561]
 [ 34.334484 -41.508633]
 [-55.90411   17.392517]]","['Symptom_Constipation', 'Symptom_Vivid_dreams', 'Symptom_Dry_cough', 'Symptom_Loss_of_smell', 'Symptom_Fever', 'Symptom_Changes_in_voice', 'Symptom_Headaches_base_of_skull', 'Symptom_Night_sweats', 'Symptom_Dizziness_vertigo', 'Grouped_Respiratory_Cardiac', 'Symptom_Muscle_aches', 'Symptom_SkinAllergy_itchy_skin', 'Symptom_Waking_up_in_night', 'Symptom_Joint_pain', 'Symptom_Headaches_diffuse', 'Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.3718009,[ 5  5 -1 ...  5 -1  5],7
Dataset_4,25,5,5,2500,25,25,15,"[[ 10.027109  18.96414 ]
 [-35.022976  12.007021]
 [ 70.06552  -47.794964]
 ...
 [-42.03173  -17.426561]
 [ 34.334484 -41.508633]
 [-55.90411   17.392517]]","['Symptom_Constipation', 'Symptom_Vivid_dreams', 'Symptom_Dry_cough', 'Symptom_Loss_of_smell', 'Symptom_Fever', 'Symptom_Changes_in_voice', 'Symptom_Headaches_base_of_skull', 'Symptom_Night_sweats', 'Symptom_Dizziness_vertigo', 'Grouped_Respiratory_Cardiac', 'Symptom_Muscle_aches', 'Symptom_SkinAllergy_itchy_skin', 'Symptom_Waking_up_in_night', 'Symptom_Joint_pain', 'Symptom_Headaches_diffuse', 'Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.34675184,[ 4  4 -1 ...  4 -1  4],5
